,news_category,news_header,news_date,news_time
102,,"Дивіться тизери колаборації Lego з Adidas і Levi's
",7 вер,12:30 
103,,Фото: Nike запускає свою першу лінійку одягу для вагітних,6 вер,15:29 
104,,Одеська студія дизайну створила рекламу для прозорого телевізора Xiaomi,2 вер,16:14 
105,,Скелясті стіни й ванна в стилі гарячого джерела. Dezeen написали про проєкт українців Sivak+Partners,26 сер,15:35 
106,Культура,,,
107,,Оголосили переможців премії «Кіноколо»,вчора,20:19 
108,,Співачка та блогерка Jerry Heil у КАМА,вчора,19:57 
109,,Є питання: Які фільми представлятимуть Україну на фестивалі документалок в Амстердамі,21 жов,14:05 
110,,У Києві створили 3D-тур квартирою родини Франка,21 жов,10:23 
111,,Аналітики назвали найстрашніший фільм жахів,19 жов,22:57 
112,,У Сан-Франциско художникам платитимуть щомісяця 1000 доларів. Це через COVID,19 жов,16:20 
113,,"Заборона книжки про Стуса: весь наклад розкупили, видавництво публікує нову",19 жов,13:25 
114,,Суд у Києві заборонив розповсюджувати книжку про Василя Стуса,19 жов,09:53 
115,,"Фото: Бенксі зізнався в авторстві графіті, де дівчинка крутить на талії велосипедну шину",18 жов,17:47 
116,,Український фільм «Із зав’язаними очима» визнали найкращим дебютантом на кінофестивалі у Варшаві,18 жов,16:58 
117,,Alyona Alyona запустила музичний лейбл Enko,18 жов,11:59 
118,,Відео: Українці взяли участь у зйомці документалки HBO про кібервійни,17 жов,14:15 
119,,Лана Дель Рей представила перший трек із нового альбома ,16 жов,20:41 
120,,"Google додав нову функцію: можна знайти пісню, наспівавши її",16 жов,12:47 
121,,Відео: «Усе пройшло шалено». Українська режисерка Таню Муіньо зняла кліп для Yungblud,16 жов,08:49 
122,,Оголосили переможців премії Billboard Music Awards 2020,15 жов,18:59 
123,Знання,,,
124,,Нобелівську премію з економіки присудили за вдосконалення теорії аукціонів,12 жов,13:39 
125,,"Вчені створили новий вид пластику, який не потрібно перероблювати",10 жов,13:51 
126,,Промо: Лауреатками Нобелівської премії з хімії стали переможниці Міжнародної премії L’ORÉAL-UNESCO,9 жов,18:17 
127,,Перший словник сучасної української мови видали в Італії,9 жов,10:33 
128,,Національну академію наук України очолив Анатолій Загородній,7 жов,18:48 
129,,Нобелівську премію з хімії присудили за створення «генетичних ножиць»,7 жов,13:14 
130,,Нобелівську премію з фізики присудили за дослідження чорних дір,6 жов,13:25 
131,,Нобелівську премію з медицини присудили за відкриття гепатиту С (яке зробили у ХХ столітті),5 жов,16:27 
132,,Премію Global Teacher Prize Ukraine отримав учитель з Тернопільщини,4 жов,11:59 
133,,Відео: Український бренд одягу Sleeper зняв відео про міфи щодо раку молочної залози,1 жов,23:00 
134,,Промо: «Як розуміти сучасне мистецтво» та ще три осінні арткурси від «Культурного Проекту»,24 вер,17:57 
135,,Відео: Чип для мозку від Ілона Маска: шанс для паралізованих і заявка на телепатію,30 сер,11:58 
136,,"Промо: КАМА та Masterskaya запускають музичний освітній табір KAMP: спікери та дати першого інтенсиву
",14 сер,16:29 
137,,"Відео: SpaceX випробувала прототип ракети Starship, яка літатиме на Місяць і Марс",5 сер,14:07 
138,,"Що робити з пилом? NASA шукає студентів, які вирішать цю проблему на Місяці",1 сер,18:23 
139,,NASA запустили місію на Марс: коли вона долетить і що робитиме,30 лип,17:55 
140,Діти,,,
141,,Промо: Запустили продаж нових українських підгузків Bambik: усю першу партію передали на благодійність,13 тра,17:12 
142,,У Києві запустили онлайн-дитсадок: ним уже скористалися 100 тисяч користувачів,5 тра,16:56 
143,,"Сервіси нянь безкоштовно доглядатимуть дітей, чиї батьки потрапили в лікарню",13 бер,18:31 
144,,Рейтинг: Найкращі країни для життя і розвитку дітей − UNICEF,19 лют,21:21 
145,,16 дітей з усього світу подали скаргу в  ООН через зміни клімату,24 вер,19:39 
146,,У Києві відкрили перший гуртожиток для дітей-сиріт,5 чер,15:55 
147,,Нове місце: Дитячий простір Kasha на «Либідській»,4 чер,13:07 
148,,Зі шкільної бібліотеки у Барселоні вилучили «Червону Шапочку»: у казці знайшли сексизм,14 кві,14:47 
149,,У Києві запустили новий електронний запис до дитсадків: як він працює,3 кві,21:23 
150,,"Відео: Українські рятувальниці підтримали дівчинку, яка хотіла стати хлопчиком, щоб працювати в пожежній",27 січ,13:02 
151,,Рада схвалила законопроект про протидію булінгу: що це значить,18 гру,18:52 
152,,«Резиденцію святого Миколая» відкрили у Головпоштамті,11 гру,10:10 
153,,Дизайнери створили лавку для грудного вигодовування у громадських місцях,11 жов,17:42 
154,,"Запустили новий порядок груп подовженого дня: що треба знати батькам
",3 вер,15:45 
155,,ПРОПОЗИЦІЯ: Відмовитися від шкільних лінійок,31 сер,14:42 
156,,Чоловікам з малолітніми дітьми можуть дозволити працювати за скороченим графіком,30 сер,10:01 
157,Donate The Village​,,,
